room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_2_248_2_332,longitude_disc_2_332_2_359,longitude_disc_2_359_2_439,latitude_disc_2_248_2_332,latitude_disc_2_332_2_359,latitude_disc_2_359_2_439
2,0,2.0,1,0,0,10.0,94.0,1,1.221558,0.08366238,2.35947,48.86662,0,407.77332,False,False,True,False,False,True
2,0,2.0,0,0,0,8.0,88.0,0,1.1401008,0.15403178,2.36451,48.86327,0,250.25632,False,False,True,False,False,True
2,0,2.0,0,0,0,10.0,100.0,0,2.6924398,0.07604438,2.37049,48.87777,1,158.91508,False,False,True,False,False,True
1,1,2.0,1,0,0,10.0,99.0,1,2.625437,0.18935016,2.38852,48.8573,1,193.63408,False,False,True,False,False,True
2,0,4.0,0,1,0,9.0,84.0,2,1.9760085,0.13291682,2.372,48.869,1,326.6847,False,False,True,False,False,True
2,0,4.0,0,0,0,10.0,96.0,1,4.0211573,0.35907036,2.31684,48.82924,1,415.9288,True,False,False,True,False,False
1,1,2.0,0,0,1,10.0,100.0,1,3.5796692,0.27387646,2.33649,48.88693,1,175.92506,False,True,False,False,True,False
2,0,4.0,1,0,0,10.0,97.0,1,3.699973,0.2836688,2.30622,48.86943,0,683.8941,True,False,False,True,False,False
2,0,2.0,0,0,0,10.0,100.0,1,1.7377936,0.2568628,2.36971,48.86748,1,240.93578,False,False,True,False,False,True
2,0,2.0,0,0,0,9.0,100.0,1,4.5531087,0.48873568,2.30087,48.83409,0,243.49893,True,False,False,True,False,False
2,0,4.0,0,0,0,9.0,91.0,1,5.3803635,0.5752548,2.28972,48.88134,0,301.05322,True,False,False,True,False,False
2,0,6.0,0,0,1,10.0,100.0,3,1.102326,0.13786843,2.36586,48.86141,1,609.09686,False,False,True,False,False,True
2,0,3.0,0,0,0,10.0,100.0,1,5.180292,0.24106096,2.28728,48.87406,1,684.36017,True,False,False,True,False,False
2,0,2.0,0,0,0,10.0,100.0,1,2.8497796,0.24392004,2.37427,48.87791,0,214.13925,False,False,True,False,False,True
2,0,2.0,0,0,0,10.0,69.0,0,5.1783986,0.32305157,2.28683,48.87326,1,200.15845,True,False,False,True,False,False
1,1,2.0,0,0,0,10.0,98.0,1,2.6702046,0.24868543,2.3658,48.87899,1,317.59717,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,88.0,1,1.7835991,0.1428482,2.34615,48.87201,1,212.04213,False,True,False,False,True,False
2,0,2.0,0,0,0,9.0,97.0,0,1.0722314,0.11905506,2.36732,48.85583,1,353.2482,False,False,True,False,False,True
2,0,6.0,0,0,0,9.0,94.0,3,1.8164115,0.19361618,2.37692,48.85303,0,760.3225,False,False,True,False,False,True
2,0,2.0,0,0,0,10.0,87.0,0,5.4527216,0.1570689,2.29203,48.88488,1,248.1592,True,False,False,True,False,False
2,0,3.0,0,0,0,7.0,80.0,2,6.290276,0.22855736,2.267,48.856,0,224.85786,True,False,False,True,False,False
2,0,5.0,0,0,0,10.0,100.0,2,5.850048,0.2003727,2.27428,48.84719,0,1359.3462,True,False,False,True,False,False
2,0,4.0,1,0,0,9.0,98.0,2,1.930111,0.13084903,2.32716,48.85252,1,751.235,True,False,False,True,False,False
2,0,3.0,1,0,0,10.0,100.0,1,2.197107,0.11187628,2.34097,48.87474,1,613.9901,False,True,False,False,True,False
2,0,2.0,0,0,0,8.0,85.0,0,1.958806,0.07710696,2.36974,48.87016,1,195.49818,False,False,True,False,False,True
1,1,2.0,0,0,0,10.0,100.0,1,4.657871,0.45597568,2.30855,48.88666,1,241.1688,True,False,False,True,False,False
1,1,2.0,0,0,1,9.0,90.0,1,4.055852,0.23103136,2.37547,48.88983,1,297.558,False,False,True,False,False,True
2,0,3.0,0,0,0,9.0,100.0,1,2.2710476,0.29553849,2.38346,48.85914,0,203.88666,False,False,True,False,False,True
2,0,2.0,0,0,0,10.0,100.0,1,1.1357718,0.004750441,2.33895,48.85193,1,254.21754,False,True,False,False,True,False
2,0,3.0,0,0,0,10.0,100.0,1,3.4296536,0.121457696,2.306,48.856,1,281.4801,True,False,False,True,False,False
2,0,5.0,0,0,1,9.0,95.0,1,1.1895889,0.1363579,2.35181,48.86725,1,559.465,False,True,False,False,True,False
2,0,2.0,0,0,0,10.0,100.0,1,2.263796,0.05295359,2.34428,48.87615,1,266.33423,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,98.0,1,5.0902033,0.20871252,2.2841,48.86328,0,359.07355,True,False,False,True,False,False
1,1,2.0,0,0,1,9.0,86.0,1,4.7659135,0.10671791,2.38083,48.89523,1,171.96384,False,False,True,False,False,True
2,0,2.0,0,0,1,9.0,92.0,0,1.833281,0.11811092,2.33567,48.86861,0,345.32574,False,True,False,False,True,False
1,1,2.0,0,0,1,8.0,78.0,1,4.3068433,0.4294321,2.40877,48.86817,0,127.22528,False,False,True,False,False,True
1,1,5.0,0,0,1,10.0,84.0,1,2.8324964,0.21584342,2.33831,48.8802,0,565.5234,False,True,False,False,True,False
1,1,3.0,0,0,1,9.0,90.0,2,1.1898197,0.18552548,2.337,48.854,1,282.41214,False,True,False,False,True,False
2,0,4.0,0,0,0,10.0,94.0,0,2.3735905,0.3243367,2.38504,48.85791,0,250.25632,False,False,True,False,False,True
2,0,2.0,0,0,0,10.0,90.0,0,1.7272611,0.19663711,2.37183,48.86567,1,214.13925,False,False,True,False,False,True
2,0,3.0,0,0,0,10.0,96.0,1,2.008131,0.16772377,2.37258,48.86902,0,262.60602,False,False,True,False,False,True
