room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,city,realsum_cut,longitude_disc_2_093_2_347,longitude_disc_2_347_12_47,longitude_disc_12_47_12_583,latitude_disc_41_35_41_893,latitude_disc_41_893_48_837,latitude_disc_48_837_48_901
1,1,4.0,0,1,0,9.0,95.0,2,7.108491,0.7283076,12.45961,41.84538,1,3,92.11418,False,True,False,True,False,False
1,1,3.0,0,1,0,10.0,100.0,1,3.0083694,1.9108332,12.468,41.892,1,3,357.2347,False,True,False,True,False,False
2,0,2.0,0,0,1,10.0,100.0,0,2.3715823,0.16281646,2.33238,48.84,1,2,370.7242,True,False,False,False,False,True
2,0,2.0,0,0,1,10.0,93.0,1,1.9199768,0.8861986,12.48138,41.89341,0,3,221.40135,False,False,True,False,True,False
2,0,2.0,0,0,0,9.0,93.0,0,0.67898345,0.17589848,12.50209,41.89476,1,3,200.59383,False,False,True,False,True,False
1,1,2.0,0,0,0,10.0,95.0,1,2.3939936,0.06371355,2.14774,41.40069,0,1,365.62943,True,False,False,True,False,False
2,0,2.0,1,0,0,10.0,99.0,2,5.571663,0.17910136,2.28434,48.87837,0,2,387.9672,True,False,False,False,False,True
2,0,4.0,1,0,0,10.0,97.0,2,1.8286339,0.049739894,12.50951,41.88533,1,3,133.72922,False,False,True,True,False,False
2,0,4.0,1,0,0,9.0,94.0,2,2.852277,0.1671745,12.514,41.925,0,3,253.66469,False,False,True,False,True,False
1,1,2.0,0,0,1,9.0,90.0,1,1.3269188,0.4242139,2.18511,41.39082,0,1,202.48097,True,False,False,True,False,False
2,0,2.0,0,1,0,10.0,93.0,1,7.3484116,0.5608461,12.41477,41.91114,0,3,168.33049,False,True,False,False,True,False
1,1,2.0,0,1,0,7.0,82.0,1,2.12169,0.109398276,2.14523,41.38303,1,1,138.94385,True,False,False,True,False,False
2,0,4.0,0,0,0,10.0,100.0,1,1.9558747,0.31821138,2.37849,48.86115,0,2,359.07355,False,True,False,False,False,True
2,0,3.0,0,0,0,10.0,95.0,1,2.5140543,0.15776144,2.32699,48.84165,1,2,428.74454,True,False,False,False,False,True
2,0,3.0,0,1,0,10.0,93.0,1,2.6429267,1.3680289,12.47395,41.88996,1,3,219.531,False,False,True,True,False,False
1,1,3.0,0,0,1,9.0,86.0,1,0.5996707,0.370919,2.16344,41.3893,0,1,318.15115,True,False,False,True,False,False
2,0,4.0,1,0,0,10.0,98.0,1,2.7153847,0.90072024,12.50624,41.87661,0,3,161.5505,False,False,True,True,False,False
2,0,6.0,0,1,0,9.0,92.0,2,2.593667,1.5621161,12.472,41.895,1,3,344.60992,False,False,True,False,True,False
2,0,2.0,0,0,1,8.0,60.0,1,0.8445482,0.62949544,12.49821,41.90785,1,3,159.44638,False,False,True,False,True,False
1,1,2.0,0,1,0,7.0,73.0,2,4.005845,0.3538702,2.12477,41.37527,1,1,142.43489,True,False,False,True,False,False
2,0,4.0,0,0,0,9.0,100.0,1,3.9905775,0.41442007,2.33251,48.88989,1,2,312.9369,True,False,False,False,False,True
1,1,2.0,0,0,0,6.0,20.0,1,1.5998266,0.49038544,2.152,41.392,1,1,451.5093,True,False,False,True,False,False
1,1,2.0,1,1,0,9.0,96.0,1,3.0564835,1.3005158,2.20202,41.40044,0,1,157.56277,True,False,False,True,False,False
2,0,2.0,1,0,0,10.0,99.0,1,2.8090131,0.1973878,2.34476,48.88128,1,2,340.8985,True,False,False,False,False,True
2,0,5.0,0,0,0,10.0,96.0,2,4.42938,2.4110441,12.45459,41.88293,0,3,230.51926,False,True,False,True,False,False
1,1,4.0,1,0,1,10.0,97.0,1,3.5976412,0.42993465,12.47743,41.87432,0,3,173.00633,False,False,True,True,False,False
1,1,3.0,0,0,1,9.0,75.0,1,3.459852,0.34555623,12.462,41.909,0,3,176.27943,False,True,False,False,True,False
1,1,2.0,0,0,0,9.0,92.0,1,1.8727858,0.12053105,2.34432,48.87247,0,2,257.0137,True,False,False,False,False,True
2,0,3.0,1,0,1,10.0,96.0,1,2.911139,0.5002254,12.52406,41.88035,0,3,148.69193,False,False,True,True,False,False
2,0,5.0,0,1,0,10.0,98.0,2,1.2247939,0.40393025,2.342,48.865,1,2,1093.9818,True,False,False,False,False,True
1,1,2.0,0,0,1,10.0,96.0,1,1.2189913,0.4075988,2.18372,41.3834,0,1,229.2457,True,False,False,True,False,False
1,1,2.0,1,0,1,10.0,98.0,1,3.2846286,0.52237326,12.54,41.892,0,3,100.29691,False,False,True,True,False,False
1,1,3.0,1,1,0,10.0,100.0,1,1.1817575,0.58388275,2.16581,41.3973,0,1,393.09238,True,False,False,True,False,False
2,0,4.0,1,0,1,10.0,98.0,2,1.8383491,0.11867272,12.48155,41.90677,1,3,399.08353,False,False,True,False,True,False
1,1,3.0,0,0,1,10.0,100.0,1,3.4817886,0.11412786,2.32903,48.8837,0,2,329.01483,True,False,False,False,False,True
2,0,4.0,0,1,0,8.0,87.0,2,4.3866377,0.2693363,2.30051,48.83737,0,2,405.6762,True,False,False,False,False,True
1,1,2.0,0,1,0,10.0,97.0,1,3.7155201,0.4296627,2.3319,48.88703,1,2,260.7419,True,False,False,False,False,True
1,1,2.0,1,1,0,10.0,94.0,1,2.6515174,0.78866476,2.16777,41.41096,1,1,158.49373,True,False,False,True,False,False
2,0,4.0,0,1,0,6.0,60.0,1,3.318574,0.5662541,12.46278,41.90568,1,3,233.55855,False,True,False,False,True,False
1,1,3.0,0,1,0,9.0,90.0,1,0.5826586,0.6902239,12.50902,41.89949,0,3,130.22234,False,False,True,False,True,False
1,1,2.0,0,0,1,10.0,90.0,1,0.82844186,0.4282812,12.495,41.906,1,3,145.41884,False,False,True,False,True,False
2,0,4.0,0,0,1,9.0,94.0,1,1.3791763,0.33026305,12.48571,41.9021,1,3,326.6079,False,False,True,False,True,False
2,0,6.0,0,0,0,9.0,93.0,1,5.0990443,0.15625837,2.28514,48.84592,0,2,579.50415,True,False,False,False,False,True
1,1,2.0,1,1,0,9.0,92.0,1,2.857387,0.07656026,12.518,41.878,0,3,146.5878,False,False,True,True,False,False
1,1,2.0,0,0,0,9.0,83.0,1,2.0521278,0.08225632,2.32478,48.85609,0,2,305.7135,True,False,False,False,False,True
2,0,5.0,1,0,0,10.0,96.0,1,2.7976766,1.493667,12.47207,41.88965,0,3,237.53302,False,False,True,True,False,False
1,1,2.0,0,1,0,10.0,85.0,1,1.339429,0.44939783,2.18535,41.39062,1,1,175.94899,True,False,False,True,False,False
2,0,2.0,0,0,0,9.0,93.0,1,3.2356212,0.07588047,2.33926,48.88428,0,2,236.0425,True,False,False,False,False,True
2,0,4.0,0,0,0,10.0,100.0,2,3.0593433,0.45438933,12.51205,41.92742,0,3,201.529,False,False,True,False,True,False
2,0,2.0,0,0,0,9.0,95.0,0,4.5419736,0.14945436,2.29167,48.84987,1,2,347.65588,True,False,False,False,False,True
2,0,4.0,1,0,0,10.0,97.0,1,5.3114142,0.79826665,12.44,41.912,1,3,219.06343,False,True,False,False,True,False
1,1,2.0,1,0,0,10.0,99.0,1,3.3611426,1.6678841,2.207,41.399,0,1,246.46822,True,False,False,True,False,False
1,1,2.0,0,0,1,9.0,84.0,1,2.9410653,1.4370207,12.47175,41.88739,1,3,117.363754,False,False,True,True,False,False
2,0,3.0,0,1,0,9.0,88.0,1,2.730574,0.23385112,2.38621,48.86733,0,2,289.8686,False,True,False,False,False,True
2,0,4.0,0,0,0,10.0,94.0,1,3.0024695,0.14679033,12.5206,41.87758,0,3,184.46216,False,False,True,True,False,False
1,1,2.0,0,1,0,10.0,98.0,1,4.4989343,1.868978,12.46211,41.9281,0,3,184.46216,False,True,False,False,True,False
1,1,2.0,1,0,0,10.0,98.0,1,4.1607776,0.26982567,2.32893,48.8226,0,2,230.91621,True,False,False,False,True,False
1,1,2.0,0,0,1,9.0,94.0,1,2.4076881,0.23382351,2.325,48.845,0,2,361.6367,True,False,False,False,False,True
2,0,4.0,1,0,0,9.0,93.0,1,3.8571146,0.06273489,2.32584,48.88638,1,2,283.3442,True,False,False,False,False,True
2,0,2.0,0,1,0,6.0,60.0,1,5.3695645,0.25568265,2.28334,48.84124,0,2,289.63556,True,False,False,False,False,True
1,1,2.0,1,1,0,10.0,98.0,1,7.0657554,0.13264245,12.56381,41.85695,1,3,76.2163,False,False,True,True,False,False
1,1,2.0,0,0,0,10.0,94.0,0,0.44043982,0.2825048,2.173,41.38387,0,1,306.5143,True,False,False,True,False,False
