room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_2_093_2_161,longitude_disc_2_161_2_177,longitude_disc_2_177_2_226,latitude_disc_2_093_2_161,latitude_disc_2_161_2_177,latitude_disc_2_177_2_226
1,1,2.0,0,0,0,8.0,80.0,1,3.3156912,0.17618214,2.14683,41.41137,1,960.5046,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,94.0,1,2.6514983,0.7886843,2.16777,41.41096,0,141.03847,False,True,False,False,True,False
1,1,2.0,0,0,1,10.0,96.0,1,0.9488485,0.18313505,2.15957,41.38379,1,173.62161,True,False,False,True,False,False
2,0,2.0,0,0,1,10.0,100.0,1,3.1767576,0.8624193,2.16408,41.4154,0,236.2278,False,True,False,False,True,False
1,1,2.0,1,1,0,10.0,95.0,1,2.9096673,0.6308044,2.19036,41.4084,0,202.71371,False,False,True,False,False,True
1,1,2.0,0,0,1,9.0,87.0,1,1.3922753,0.31357065,2.15502,41.38168,1,219.70349,True,False,False,True,False,False
2,0,3.0,0,0,0,10.0,92.0,2,3.4323244,0.19153394,2.19161,41.41343,1,393.7906,False,False,True,False,False,True
1,1,2.0,0,1,0,10.0,87.0,1,0.46779785,0.13266267,2.17492,41.38916,1,648.1719,False,True,False,False,True,False
1,1,2.0,0,0,1,7.0,80.0,1,1.2208865,0.16258395,2.15795,41.38094,1,182.93109,True,False,False,True,False,False
1,1,2.0,0,0,0,10.0,94.0,1,0.7843737,0.18461113,2.17915,41.38554,0,190.84413,False,False,True,False,False,True
1,1,2.0,0,0,1,6.0,63.0,1,4.401716,1.0466883,2.15555,41.42526,0,179.44003,True,False,False,True,False,False
2,0,4.0,0,0,1,6.0,80.0,1,1.7586432,0.17303218,2.16009,41.37317,1,645.8445,True,False,False,True,False,False
1,1,2.0,0,1,0,9.0,97.0,1,2.163668,0.7761566,2.16552,41.40633,1,167.80319,False,True,False,False,True,False
1,1,2.0,0,0,0,9.0,88.0,1,3.8673592,0.4105879,2.13206,41.36723,0,138.94385,True,False,False,True,False,False
1,1,2.0,0,0,1,9.0,85.0,1,0.767776,0.43655586,2.16302,41.39162,0,225.75465,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,91.0,1,2.02376,0.8740137,2.19136,41.39573,0,219.93623,False,False,True,False,False,True
1,1,2.0,0,0,1,10.0,97.0,1,4.091527,0.7108771,2.20976,41.40864,0,202.48097,False,False,True,False,False,True
2,0,2.0,0,0,0,10.0,90.0,1,1.0359002,0.78985447,2.17261,41.39626,1,266.25085,False,True,False,False,True,False
1,1,2.0,0,1,0,10.0,93.0,1,1.8999213,0.40063545,2.14853,41.38156,1,216.44518,True,False,False,True,False,False
1,1,2.0,0,1,0,10.0,85.0,1,1.339429,0.44939783,2.18535,41.39062,1,175.94899,False,False,True,False,False,True
1,1,2.0,1,1,0,10.0,95.0,1,1.0921304,0.43186632,2.179,41.38,1,309.7726,False,False,True,False,False,True
1,1,2.0,1,0,0,10.0,94.0,1,2.2936635,0.5984754,2.15797,41.4057,0,138.94385,True,False,False,True,False,False
1,1,2.0,0,1,0,10.0,97.0,1,1.3692483,0.41721117,2.15545,41.39278,1,167.80319,True,False,False,True,False,False
1,1,2.0,0,0,1,10.0,100.0,1,2.1615958,0.33089846,2.17818,41.40561,0,235.99507,False,False,True,False,False,True
1,1,2.0,0,1,0,9.0,87.0,1,2.0472422,0.2717562,2.1482,41.37876,1,173.62161,True,False,False,True,False,False
1,1,2.0,0,0,0,9.0,91.0,1,2.039658,0.59312123,2.14792,41.39493,0,136.38374,True,False,False,True,False,False
1,1,2.0,0,0,0,10.0,91.0,1,0.54356575,0.33479482,2.164,41.389,1,134.28911,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,94.0,1,0.98841643,0.3372273,2.17684,41.37987,0,170.13057,False,False,True,False,False,True
1,1,2.0,0,0,0,10.0,100.0,1,1.1312848,0.15261044,2.176,41.378,1,254.61401,False,True,False,False,True,False
1,1,2.0,0,0,0,10.0,91.0,1,2.9227605,0.63615894,2.18886,41.40931,0,197.82623,False,False,True,False,False,True
2,0,4.0,1,1,0,9.0,93.0,1,3.51285,0.16242535,2.13848,41.36623,0,489.44537,True,False,False,True,False,False
