room_type,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,lng,lat,is_weekend,realsum_cut,longitude_disc_12_401_12_471,longitude_disc_12_471_12_499,longitude_disc_12_499_12_583,latitude_disc_12_401_12_471,latitude_disc_12_471_12_499,latitude_disc_12_499_12_583
2,0,6.0,0,0,1,9.0,90.0,2,4.851895,0.30716595,12.44493,41.90949,1,241.2737,True,False,False,True,False,False
2,0,3.0,1,1,0,10.0,100.0,1,4.7158895,1.2737427,12.468,41.867,0,193.58006,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,91.0,1,4.695541,0.28081882,12.447,41.91,0,126.715454,True,False,False,True,False,False
1,1,2.0,0,1,0,10.0,93.0,1,4.542394,1.776447,12.461,41.874,0,103.8038,True,False,False,True,False,False
2,0,2.0,0,0,0,10.0,95.0,1,2.4071827,0.20202321,12.52749,41.8902,1,171.83737,False,False,True,False,False,True
2,0,4.0,1,0,0,10.0,99.0,2,2.8602123,0.30912766,12.53164,41.88743,0,156.87466,False,False,True,False,False,True
2,0,6.0,1,0,1,10.0,95.0,2,3.2114916,0.0662832,12.466,41.911,0,311.1776,True,False,False,True,False,False
1,1,4.0,0,0,1,10.0,98.0,1,2.5198317,0.30269504,12.52771,41.91323,0,147.52296,False,False,True,False,False,True
2,0,4.0,0,0,0,10.0,97.0,1,4.8687143,1.6478678,12.46356,41.86793,1,253.66469,True,False,False,True,False,False
2,0,2.0,0,0,0,10.0,100.0,1,3.523152,0.27348965,12.4802,41.87377,1,485.3529,False,True,False,False,True,False
2,0,2.0,1,1,0,10.0,99.0,1,2.5950396,1.2215866,12.471,41.9,1,235.1951,False,True,False,False,True,False
2,0,4.0,1,0,0,10.0,98.0,1,2.4776673,0.69921285,12.50707,41.87886,1,230.05167,False,False,True,False,False,True
1,1,2.0,0,1,0,10.0,96.0,1,1.1122884,0.51577234,12.5,41.891,0,136.06714,False,False,True,False,False,True
2,0,4.0,1,0,1,10.0,96.0,2,2.3535254,1.4321861,12.475,41.895,1,346.71405,False,True,False,False,True,False
2,0,4.0,0,0,0,9.0,85.0,2,3.37625,0.34890762,12.51945,41.87333,0,184.46216,False,False,True,False,False,True
2,0,4.0,0,0,1,10.0,95.0,1,2.518619,1.250552,12.47561,41.89001,0,219.06343,False,True,False,False,True,False
1,1,2.0,1,1,0,10.0,98.0,1,0.6044915,0.46085456,12.499,41.896,1,122.2734,False,False,True,False,False,True
2,0,5.0,0,0,0,9.0,100.0,2,2.361842,0.82899386,12.504,41.87965,1,173.47392,False,False,True,False,False,True
1,1,2.0,1,1,0,10.0,100.0,1,2.5521033,1.415738,12.47202,41.89665,0,190.07318,False,True,False,False,True,False
2,0,4.0,0,0,1,9.0,90.0,1,3.7209344,1.4719315,12.4579,41.89595,0,182.12424,True,False,False,True,False,False
1,1,3.0,1,1,0,10.0,99.0,1,4.1550665,0.2461768,12.53187,41.87072,0,126.715454,False,False,True,False,False,True
2,0,4.0,1,1,0,10.0,98.0,1,4.5252223,0.28079912,12.448,41.905,0,190.07318,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,95.0,1,6.7095423,2.3707087,12.556,41.946,1,109.41482,False,False,True,False,False,True
2,0,6.0,0,0,0,9.0,93.0,2,5.464248,2.6725104,12.451,41.87,1,274.47223,True,False,False,True,False,False
1,1,2.0,1,1,0,10.0,98.0,1,3.0623016,0.22572066,12.46728,41.90968,1,184.46216,True,False,False,True,False,False
2,0,4.0,1,0,0,10.0,98.0,2,3.0617201,1.7319415,12.4873,41.92607,0,299.7218,False,True,False,False,True,False
2,0,2.0,0,0,0,10.0,93.0,1,4.3796697,0.6955832,12.48968,41.86258,1,117.59755,False,True,False,False,True,False
1,1,2.0,0,0,1,10.0,100.0,1,1.3041986,0.25988072,12.51462,41.90811,0,161.5505,False,False,True,False,False,True
1,1,2.0,1,0,1,10.0,100.0,1,2.5739846,0.7802668,12.472,41.906,0,140.743,False,True,False,False,True,False
2,0,5.0,0,0,0,9.0,94.0,1,1.6226336,0.43194494,12.49385,41.88768,0,207.6076,False,True,False,False,True,False
1,1,2.0,1,1,0,10.0,97.0,1,0.6476277,0.20120013,12.49445,41.90063,0,167.16153,False,True,False,False,True,False
1,1,2.0,1,1,0,10.0,96.0,1,7.623056,2.5439405,12.54246,41.83918,0,190.07318,False,False,True,False,False,True
